wikidata_name,wikidata_id,potential_drop,has_infobox,start_date,end_date,location_name,location_latlong,result,belligerent_sideA,belligerent_sideB,means_drones,means_airtoair,means_cruisemissiles,means_aerialbombing,means_closeairsupport,means_groundtroops,means_paramilitary,casualties_sideA,casualties_sideB,casualties_civilian,casualties_us,notes
Operation Mawtini,Q16932796,0,1,2007-07-15,2007-07-15,Western Al Anbar; Iraq,32°54′N 41°36′E,NA,United States; Iraqi Army,Iraqi insurgency,0,0,0,0,0,1,0,0,NA,NA,0,article doesn't give a lot of info on US means other than that the army and marine corps participated so it would probably be good to do some extra research
Operation Purple Haze,Q7097429,0,1,2007-07-15,2007-07-15,"Baghdad, Iraq",NA,Successful Iraqi and American raid,United States Army; New Iraqi Army,Iraqi insurgency,0,0,0,0,0,1,0,0,0,0,0,
Operation Marne Avalanche,Q7097270,0,1,2007-07-16,2007-08-15,"southern Baghdad, Iraq",NA,Transitioned to operation Marne Husky at the commencement of Operation Phantom Strike,United States; Iraq,Iraqi insurgency,0,0,0,0,0,0,0,0,83,NA,0,
Operation Hammer (Afghanistan),Q3030335,0,1,2007-07-24,2007-07-27,"Helmand province, Afghanistan",NA,Coalition strategic victory (Coalition forces took control of territory north of the Helmand river) ,United Kingdom; Estonia; Denmark; United States; Afghan National Army; International Security Assistance Force,Taliban insurgents,0,0,0,0,1,0,0,3,100,NA,0,
Battle of Firebase Anaconda,Q281145,0,1,2007-08-08,2007-08-08,"Uruzgan province, Afghanistan",NA,U.S.-Afghan victory,United States; Afghan National Army,Taliban insurgents,0,0,0,0,0,1,0,0,20,NA,0,"Unclear what means were used, coded ground troops becuase this was an attack on a base"
Operation Phantom Strike,Q1697088,0,1,2007-08-15,2008-01-01,Iraq,NA,Al-Qaeda terrorist network disrupted,United States Army; New Iraqi Army,Islamic State of Iraq; Mahdi Army; Other Iraqi insurgents,0,0,0,1,1,1,0,11,330,NA,11,end date is approximated to the first of the month 
Operation Rock Avalanche,Q2026322,0,1,2007-10-19,2007-10-25,"Korengal Valley, Kunar, Afghanistan",NA,U.S. minor tactical victory,United States; Afghanistan,Taliban insurgents,0,0,0,0,1,1,0,3,45,10,NA,side_B casualty count is mean of 40-50 estimate
Operation Marne Courageous,Q16931346,0,1,2007-11-16,2007-11-16,"Baghdad, Iraq",NA,NA,United States,Iraqi insurgency,0,0,0,0,1,1,0,0,0,0,0,
Operation Lion's Leap,Q7097238,0,1,2007-11-17,NA,"Diwaniya, Iraq",NA,Indecisive,United States; United Kingdom; Poland; Iraq,Mahdi Army,0,0,0,0,0,1,0,0,0,0,0,
Operation Phantom Phoenix,Q2026267,0,1,2008-01-08,2008-07-28,North-central Iraq,NA,Partial Coalition victory; Coalition victory in Diyala and Salah ad-din provinces; Indecisive outcome in Mosul and Kirkuk provinces,United States; Iraq; Georgia; United Kingdom,Islamic State of Iraq; Other Iraqi Insurgents,0,0,0,1,0,1,1,839,890,NA,59,
Nineveh campaign,Q7038210,0,1,2008-01-23,2008-07-28,"Nineveh Governorate, Iraq",NA,Indecisive (Insurgents manage to maintain a significant presence in Mosul and surrounding areas and make the region their last urban stronghold; Insurgents are largely isolated from the rest of the country and not able to conduct coordinated attacks outside of Ninawa),United States; Iraq,Islamic State of Iraq; Other Iraqi Insurgents,0,0,0,0,0,1,0,337,224,548,17,
Dobley airstrike,Q5286642,0,1,2008-03-03,2008-03-03,"Dobley, Somalia",NA,NA,United States,al-Qaeda,0,0,1,0,0,0,0,NA,NA,NA,NA,"Target: Al-Qaeda militants; Executed by the United States Navy; Casualties 4-6 killed; villagers also reported that an aircraft had attacked them, but U.S. military officials denied these reports merely stating that an attack had indeed occurred and that they were looking into the results"
Battle of Basra (2008),Q2888122,0,1,2008-03-25,2008-03-31,"Basra, Iraq",NA,Tactically inconclusive; Strategic Iraqi Army victory,Iraq; United States; United Kingdom; Iraqi Kurdistan; Badr Brigades,Mahdi Army; Special Groups; Fadhila Militia; Thar Allah,0,0,0,1,0,0,1,30,400,50,NA,
Iraq spring fighting of 2008,Q6067932,0,1,2008-03-25,2008-05-15,Iraq,NA,Ceasefire; Strategic ISF victory,Iraqi Army; United States; Awakening Councils; Badr Brigades,Mahdi Army; Special Groups; Fadhila militia,0,0,0,1,1,1,0,191,700,1116,35,
Operation Defeat Al Qaeda in the North,Q7096967,0,0,2008-03-30,2008-09-01,"Al Anbar Province, Iraq; Saladin Governorate, Iraq; Nineveh Governorate, Iraq",NA,NA,United States; Iraqi security forces,Tanzim Qaidat al-Jihad fi Bilad al-Rafidayn,0,0,0,0,0,1,1,NA,NA,NA,NA,Dates approximate. Took place during spring and summer
Battle of Garmsir,Q4871080,0,1,2008-04-01,2008-09-08,"Helmand Province, Afghanistan",NA,"2008 stalemate, 2009 unclear",United States; United Kingdom; Estonia; Afghan National Army,Taliban insurgents,0,0,0,0,0,1,0,NA,NA,NA,NA,"Date unclear, listed as the following: April - 8 September 2008; 2009-2011 (other opperations listed as seperate rows)"
Battle of Shok Valley,Q4872371,0,1,2008-04-06,2008-04-06,"Shok Valley, Nuristan Province, Afghanistan",NA,U.S./Afghan failure to capture Gulbuddin Hekmatyar,United States; Afghanistan,Hezb-e-Islami Gulbuddin,0,0,0,1,1,0,1,3,175,NA,1,"Greatest number of Silver Star awards for a single battle since the Vietnam War; Side B casualties 150-200 median coded; U.S. casualty was the local interpreter, listed on the U.S. side but not an american soldier"
Battle of Afghanya,Q4870218,0,,2008-04-08,2008-04-08,"Kapisa Province, Afghanistan",NA,Coalition victory,United States; FFL; ANP,Taliban,0,0,0,0,0,1,0,NA,NA,NA,NA,Says that wikipedia does not have an article with this name when I go through wikidata; coded off DBpedia
Dhusamareb airstrike,Q1328419,0,1,2008-05-01,2008-05-01,"Dhuusamarreeb, Somalia",NA,NA,United States,al-Shabaab,0,0,0,1,0,0,0,NA,NA,NA,NA,"Target: Islamic militants (al-Shabaab); Excecuted by the United States; Casualties: up to 40 killed,"
Gora Prai airstrike,Q5584353,0,1,2008-06-10,2008-06-10,"Mohmand Agency, FATA, Pakistan",NA,NA,United States,Taliban,0,0,0,1,0,0,0,NA,NA,NA,NA,"Type: Aerial attack; Target: Taliban; Executed by: United States; Casualties: 10 Pakistani paramilitaries and 1 regular army major killed (Pakistan claim), 8 Taliban militants killed (US claim); laser-guided munitions used"
Haska Meyna wedding party airstrike,Q5252012,0,1,2008-07-06,2008-07-06,"Haska Meyna, Haska Meyna District, Nangarhar Province, Afghanistan",NA,"47 civilians killed, including 39 women and children and 8 teenagers; another nine wounded",United States,Insurgents,0,0,0,1,0,0,0,NA,NA,47,NA,"U.S. forces stated that they had been targeting an insurgent force and labeled a ""target of opportunity"""
Operation Augurs of Prosperity,Q3354646,0,1,2008-07-29,2008-08-11,"Diyala, Iraq",NA,US-Iraqi Victory,United States; Iraq,Islamic state of Iraq; Other Iraqi insurgents,0,0,0,0,0,1,0,58,15,70,0,
Battle of Shewan,Q2889960,0,1,2008-08-08,2008-08-08,"Farah Province, Afghanistan",NA,US victory,United States,Taliban,0,0,0,1,1,1,0,0,150,NA,0,
Battle of Ebrahimkhel,Q4870947,0,1,2008-08-08,2008-08-08,"Ebrahimkhel, Afghanistan",NA,Allied Tactical Victory; Taliban Strategic Victory,United States; Afghanistan; Netherlands,Taliban insurgents; Al-Qaeda,0,0,0,0,0,1,0,NA,25,NA,NA,largest ground-to-ground firefight since the Vietnam War in 1968
Azizabad airstrike,Q2909596,0,1,2008-08-22,2008-08-22,"Azizabad, Herat, Afghanistan",NA,NA,United States,Taliban,0,0,0,1,0,0,0,NA,NA,85,NA,"Airstrike executed by a U.S. AC-130 ground attack aircraft that was called in by US Special Forces (does not seem like they were on the ground); Target was a Taliban commander Mullah Siddiq; 78-92 killed, international community claimed they were civilians, US claimed Taliban connection"
Operation Eagle's Summit,Q3354694,0,1,2008-08-27,2008-09-05,"Kandahar Province, Afghanistan; Helmand Province Afghanistan",32°19′19″N 65°7′8″E,Coalition victory,United Kingdom; Afghan National Army; Canada; United States; Denmark; Netherlands; France; Australia,Taliban insurgents,0,0,0,0,1,0,0,5,200,NA,0,
Battle of Khaz Oruzgan,Q4871421,0,1,2008-09-02,2008-09-02,"Khaz Oruzgan, Oruzgan Province, Afghanistan",NA,Taliban Victory,United States; Australia; Afghanistan,Taliban insurgency,0,0,0,0,0,0,1,10,50,NA,1,side b casualties 20-80 estimated killed median coded
2008 Abu Kamal raid,Q553332,0,1,2008-10-26,2008-10-26,"Sukkariyeh, Syria",NA,Mission accomplished,United States,Islamic State of Iraq,0,0,0,0,0,0,1,0,8,NA,0,US Army Special Forces
Wech Baghtu wedding party airstrike,Q7979006,0,1,2008-11-03,2008-11-03,"Wech Baghtu village, Shah Wali Kot District, Kandahar province, Afghanistan",NA,"26 insurgents and 37 civilians killed including 23 children and 10 women, another 27 wounded",United States ,Taliban ,0,0,1,0,0,0,0,0,26,37,0,
Battle of Alasay,Q385546,0,1,2009-03-14,2009-03-23,"Alasay, Kapisa Province, Afghanistan",NA,Coalition victory; Taliban retreat,International Security Assistance Force (France; United States); Afghan National Army,Taliban,0,0,0,0,1,0,0,1,35,NA,NA,U.S. provided CAS with attack helicopters and A-10 and F-15E strike aircraft
First and Second Battles of Kakarak,Q5454117,0,1,2009-03-16,2009-04-12,"Kakarak, Orūzgān Province, Afghanistan",NA,Coalition victory,Australia; Afghan National Army; United States,Taliban insurgents,0,0,0,0,1,0,0,1,NA,NA,NA,Side B casualties listed as heavy; Dutch and U.S. provided CAS for Australian and Afghan soldiers
Counterinsurgency in Northern Afghanistan,Q1312389,0,1,2009-04-01,2014-12-01,Northern Afghanistan,NA,Tactical coalition successes; de facto status quo ante bellum,Germany; United States; Afghanistan; Belgium; Sweden; Norway,Taliban insurgents; al-Qaeda,0,0,0,1,1,1,1,123,639,123,25,"No day listed for dates, coded for first of the month; 3 PMC killed, listed with civilian casualties"
Insurgency in the North Caucasus,Q849563,1,1,2009-04-16,2017-12-19,Chechnya; Dagestan; Ingushetia; Kabardino-Balkaria; Karachay-Cherkessia; North Ossetia-Alania,NA,Russian victory (estruction of the Caucasus Emirate),Russia (Chechnya; Dagestan; Ingushetia; Kabardino-Balkaria; Karachay-Cherkessia; North Ossetia-Alania;  Kadryovtsy; Other loyalists),Caucasus Emirate; Islamic State,0,0,0,0,0,0,0,1117,2329,632,NA,"U.S. is not mentioned anywhere in the article; Side A casualties 1,101 - 1,132 killed median coded"
Attack on Bari Alai,Q17182139,0,1,2009-05-01,2009-05-01,"Kunar province, Afghanistan",NA,Taliban success; OP destroyed,United States; Latvia; Afghanistan,Taliban insurgents,0,0,0,0,0,1,0,8,19,NA,3,"Taliban insurgent attack on the International Security Assistance Force Observation Post Bari Alai in the perimeter of Nishagam in Kunar Province, Afghanistan"
Granai airstrike,Q1136783,0,1,2009-05-04,2009-05-04,"Granai, Bala Buluk District, Farah Province, Afghanistan",NA,NA,United States,Taliban,0,0,0,1,0,0,0,0,0,117,0,"Casualties estimate 86-147 killed, mostly women and children; U.S. admitted significant errors were made in carrying out the airstrike and the inability to discern the presence of civilians and minimize collateral damage resulted in the unintended consequence of civilian casualties; Combat camera video of the airstrike made by the bomber aircraft involved was not released in the Pentagon investigation and appears to have been ""lost"". Mean value of casualties inputed"
Operation Panther's Claw,Q3354803,0,1,2009-06-19,2009-08-20,"Helmand Province, Afghanistan",NA,Coalition Victory,United Kingdom; Denmark; Estonia; Afghan National Army; United States,Taliban insurgents,0,0,0,0,1,0,0,26,200,3,0,looks like this was the UK taking over for the US to establish a permanent ISAF presence in southern Afghanistan; can't find anything about US means in this article 
Operation Strike of the Sword,Q2549377,0,1,2009-07-02,2009-08-20,Helmand province; Afghanistan ,31°23′30.53″N 64°19′08.48″E,"Partial strategic coalition victory, stalemate continues in some areas, particularly the Nawzad district",United States; United Kingdom; Afghanistan,Taliban insurgents,0,0,0,0,1,1,0,3,56,NA,0,casualty estimate for side_B is mean of 49-62
Islamist insurgency in Nigeria,Q1569328,0,1,2009-07-26,NA,Borno State; Yobe State; Northern Cameroon; Southeast Niger; Western Chad,NA,NA,Multinational Joint Task Force (Nigeria; Cameroon; Chad; Niger); Local militias and vigilantes; Foreign mercenaries; African Union; Belgium; Benin; Canada; China; Pakistan; Colombia; Egypt; France; Iran; Israel; Italy; Russia; Spain; United Kingdom; United States; Belarus,Boko Haram; Ansaru; al-Qaeda; Taliban; Islamic State of Iraq and the Levant,0,0,0,0,0,1,0,NA,1957,51567,NA,"Status: Ongoing (Expansion of conflict into neighboring Cameroon, Chad, and Niger; Coalition offensive in 2015 forces Boko Haram to retreat into the Sambisa Forest); US military troops deployed to Cameroon with primary mission of providing intelligence support and reconnaissance flights; US personell involved in drone opperations from Garoua and Niger to help provide intelligence in the region"
Operation Champion Sword,Q7096884,0,1,2009-07-28,2009-08-05,"Khost Province, Afghanistan",NA,Improvement of security in region; capture of 14 militants and bomb-makers; improvement of security before Afghan Election,United States; Afghanistan,Taliban insurgents; al-Qaeda; other allied groups,0,0,0,0,0,1,0,NA,NA,NA,NA,
Battle of Dahaneh,Q2888379,0,1,2009-08-12,2009-08-15,"Dahaneh, Afghanistan","33°01'42.8""N 62°08'31.6""E",Coalition victory; Dahaneh Secured,United States; Afghan National Army; United Kingdom,Taliban insurgents,0,0,0,1,1,1,0,1,21,NA,1,U.S. Marine Harriers dropped flares as a show of force; side B casualities 19-22 killed median coded
2009 Kunduz airstrike,Q1848486,0,1,2009-09-04,2009-09-04,"Kunduz City, Kunduz Province, Afghanistan",NA,NA,United States; Germany,Taliban,0,0,0,1,0,0,0,NA,NA,100,NA,"Type: aerial attack; target: two fuel tankers hijacked by Taliban; executed by: USAF F-15E, called in by German forces; casualties: up to 179, with over 100 civilians killed; major political reprocutions"
Battle of Ganjgal,Q4871076,0,1,2009-09-08,2009-09-08,"Ganjgal village, Kunar Province, Afghanistan",NA,U.S./Afghan victory (Taliban cleared out of village),United States; Afghanistan,Taliban,0,0,0,0,1,1,0,13,16,NA,5,"Claims that coalition deaths were unavoidable if air support had arrived earlier, but new rules of engagement were cited to delay CAS, investigation revealed neglegence; Taliban fighters have a different account of the battle; several medals awarded for this battle"
2009 Baraawe raid,Q10751263,0,1,2009-09-14,2009-09-14,"Baraawe, Somalia",1°06′48″N 44°01′49″E,Saleh Ali Salen Nabhan killed,United States,al-Qaeda; al-Shabaab,0,0,0,0,1,0,1,0,6,NA,0,USMC AV-8B was intended to eliminate target but it reported a malfunction in its targeting system
Battle of Kamdesh,Q2664174,0,1,2009-10-03,2009-10-03,"Kamesh, Nuristan Province, Afghanistan",35.4231°N 71.3289°E,Indecisive (Tactical Coalition victory; Strategic Taliban victory),United States; Afghanistan; Latvia,Taliban insurgents,0,0,0,1,1,1,0,12,150,NA,8,
Operation Cobra's Anger,Q1128855,0,1,2009-12-04,2009-12-12,Nawzad district in Afghanistan,NA,Coalition victory,United States; Afghanistan; Denmark,Taliban insurgents; Al-Qaeda,0,0,0,0,1,1,0,4,16,NA,NA,
Operation Septentrion,Q3354840,0,1,2009-12-16,2009-12-18,"Surobi District, Afghanistan",NA,NA,International Security Assistance Force,Taliban,0,0,0,0,1,0,1,NA,NA,NA,NA,"US part of this NATO-led security mission and provided 200 Special Forces; no info given on casualties or outcome in the infobox; location (Uzbin Valley, Afghanistan) changed to Surobi District, Afghanistan"
Night raid on Narang,Q6965344,0,1,2009-12-27,2009-12-27,"Ghazi Khan Ghondi village, Narang District, Kunar province, Afghanistan",NA,Dealth of 10 local civilians,NATO; United States,Taliban,0,0,0,0,0,0,1,NA,NA,10,NA,"NATO authorized operation night raid; discrepency and confusion about who was involved, but in 2015 it became known that U.S. covernt Omega Program SEAL and CIA carried out the assault with CIA trained Afghan troops; dispute over victims who turned out to be local school boys"
Raid on Khataba,Q6400879,0,1,2010-02-12,2010-02-12,"Khataba village, Paktia Province, Afghanistan",33°36′00″N 69°13′01″E,NA,United States,Taliban,0,0,0,0,0,1,0,NA,NA,NA,NA,US claims no civilians were killed but local human rights organization and local/tribal sources say 5 civilians were killed 
Uruzgan helicopter attack,Q8207886,0,1,2010-02-21,2010-02-21,"Uruzgan, Afghanistan",NA,"27–33 civilians killed, including four women and one child; another 12 wounded",United States,Taliban,0,0,0,0,1,0,1,NA,NA,30,NA,USA not specified as belligerent in infobox but attack was carried out by US Army
Shah Wali Kot Offensive,Q2083522,0,1,2010-06-10,2010-06-14,"Shah Wali Kot District, Kandahar Province, Afghanistan",NA,Coalition victory,Afghanistan; Australia; United States,Taliban insurgents,0,0,0,0,1,0,0,0,100,NA,0,US support provided by helicopters from Task Force No Mercy which are paramilitary troops
Battle of Sangin (2010),Q4872292,0,1,2010-07-01,2011-05-01,"Sabging District, Helmand Province, Afghanistan",NA,ISAF-NATO victory; Sanging cleared of insurgents,ISAF; NATO (United States; Islamic Republic of Afghanistan),Taliban,0,0,0,0,0,1,0,NA,NA,NA,NA,"Dates July 2010-May 2011, startdate unclear, first of the month coded; not a detailed account of the battle and the means, just the battalions involved"
2010 Sangin airstrike,Q7418013,0,1,2010-07-23,2010-07-23,"Sangin, Helmand province, Afghanistan",NA,"Estimated 39-52 people killed, mostly women and children",United States; NATO,Taliban,0,0,0,1,0,0,0,NA,39,46,NA,"side A: US and NATO; side B: Afghan civilians; US and NATO officials denied such incident; civilian deaths coded as 39 because that was the findings of the Karzai governments invesigation (initial reports estimate 45-52); alludes to U.S. airstrike, no direct mention"
Battle of the Palm Grove,Q4872982,0,1,2010-09-10,2010-09-13,"Duyyala, Iraq",NA,"Strategically inconclusive, insurgent tactical victory",United States; Iraqi security forces,Iraqi Insurgency,0,0,0,1,1,1,0,5,NA,NA,0,Last major battle of the Iraq War involving U.S. forces against insurgent elements
Operation Dragon Strike,Q2026053,0,1,2010-09-15,2010-12-31,"Kandahar province, Afghanistan",NA,Coalition Victory,United States; Canada; Afghanistan,Taliban insurgents; Quds Force,0,0,0,0,0,1,0,42,NA,NA,34,
Operation Halmazag,Q1234017,0,1,2010-10-31,2010-11-04,Kunduz Province,NA,Colaition victory,Germany; United States; Afghanistan; Belgium,Taliban insurgents,0,0,0,0,1,1,0,0,12,NA,0,
Operation Bulldog Bite,Q7096856,0,1,2010-11-12,2010-11-25,"Kunar province, Afghanistan",NA,American victory,United States; Afghanistan,Taliban insurgents,0,0,0,1,1,1,0,10,101,NA,7,side_B casualty count is mean of 52-150 estimate 
SY Quest incident,Q647100,1,1,2011-02-04,2011-02-22,Indian Ocean,NA,American victory,United States,Somali pirates,0,0,0,0,0,0,1,0,4,4,0,
Sinai insurgency,Q7521684,1,1,2011-02-05,NA,"Sinai Peninsula, Egypt",NA,NA,Egypt; Israel; UAE,Islamists; Ansar Bait al-Maqdis; Al-Qaeda; Hasm Movement; Bedouin tribesmen; Jund al-Islam; Popular Resistance Movement; Takfir wal-Hijra; Army of Islam; Al Furqan Brigades; Soldiers of Egypt; Islamic State of Iraq and the Levant,0,0,0,0,0,0,0,1530,3300,1772,NA,US not mentioned as a belligerent but collaborates in intelligence w/ Egypt and Israel; side_A casualty count is mean of 1030-2030 and side_B is mean of 3050-3550; Ansar Bait al-Maqdis only belligerent on side_B unti late 2014 and ISIL has been involved from 2014 
